City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,North Platte,US,2020-09-02 08:23:33,41.12,-100.77,57.0,76,1,2.01
70,Dingle,PH,2020-09-02 08:23:50,11.0,122.67,86.65,71,99,2.37
71,Strezhevoy,RU,2020-09-02 08:23:50,60.73,77.59,53.6,87,90,4.47
72,Shaki,AZ,2020-09-02 08:23:51,41.08,47.17,82.4,48,16,5.82
73,Caloundra,AU,2020-09-02 08:23:51,-26.8,153.13,70.0,80,1,3.0
74,Hirara,JP,2020-09-02 08:23:51,24.8,125.28,87.8,74,75,11.41
75,Avera,US,2020-09-02 08:23:52,33.19,-82.53,77.0,86,1,3.36
76,Saint-Philippe,RE,2020-09-02 08:23:52,-21.36,55.77,77.0,61,9,12.75
77,Torbay,CA,2020-09-02 08:23:52,47.67,-52.73,48.99,100,5,8.05
78,Tyukalinsk,RU,2020-09-02 08:21:09,55.87,72.2,79.21,54,99,19.89
79,Puerto Del Rosario,ES,2020-09-02 08:23:52,28.5,-13.86,73.4,78,75,5.82
80,Hobart,AU,2020-09-02 08:20:09,-42.88,147.33,60.8,41,75,14.99
81,Tazmalt,DZ,2020-09-02 08:23:53,36.39,4.4,77.0,69,40,5.82
82,Nikolskoye,RU,2020-09-02 08:23:53,59.7,30.79,59.0,67,90,11.18
83,Nanortalik,GL,2020-09-02 08:23:54,60.14,-45.24,42.06,63,0,16.73
84,Avarua,CK,2020-09-02 08:19:06,-21.21,-159.78,75.2,88,0,11.41
85,Karpathos,GR,2020-09-02 08:23:54,35.51,27.21,87.8,48,0,10.29
86,Cayenne,GF,2020-09-02 08:23:54,4.93,-52.33,73.4,100,75,10.07
87,Souillac,MU,2020-09-02 08:23:54,-20.52,57.52,77.0,78,75,10.29
88,Nome,US,2020-09-02 08:19:40,64.5,-165.41,42.8,87,75,18.34
89,Manta,EC,2020-09-02 08:23:55,-0.95,-80.73,71.6,83,75,6.93
90,Gornyak,RU,2020-09-02 08:23:55,50.99,81.47,80.11,42,4,5.82
91,Shushenskoye,RU,2020-09-02 08:23:55,53.33,91.94,68.0,64,100,11.18
92,Cabedelo,BR,2020-09-02 08:23:55,-6.98,-34.83,71.6,94,40,6.93
93,Piet Retief,ZA,2020-09-02 08:23:56,-27.01,30.81,54.25,68,73,5.35
94,Thompson,CA,2020-09-02 08:23:56,55.74,-97.86,39.2,100,20,5.61
95,Castro,BR,2020-09-02 08:23:57,-24.79,-50.01,56.75,87,98,13.56
96,Hofn,IS,2020-09-02 08:23:57,64.25,-15.21,48.2,87,75,6.58
97,Khandyga,RU,2020-09-02 08:23:57,62.67,135.6,60.93,71,100,3.4
98,Pangnirtung,CA,2020-09-02 08:23:57,66.15,-65.71,42.15,67,0,6.89
99,Touros,BR,2020-09-02 08:23:58,-5.2,-35.46,69.8,100,40,3.36
100,Port Elizabeth,ZA,2020-09-02 08:23:58,-33.92,25.57,66.2,68,0,21.92
101,Norman Wells,CA,2020-09-02 08:23:58,65.28,-126.83,50.0,93,75,9.17
102,Almaznyy,RU,2020-09-02 08:23:58,48.04,40.05,82.4,45,0,22.37
103,Lapua,FI,2020-09-02 08:23:04,62.97,23.01,64.99,62,0,4.0
104,Alta Floresta,BR,2020-09-02 08:23:59,-9.88,-56.09,67.48,39,0,2.77
105,Petrovskoye,RU,2020-09-02 08:23:59,57.01,39.27,60.73,67,2,8.14
106,Nantucket,US,2020-09-02 08:21:48,41.28,-70.1,66.2,82,90,12.75
107,Bonthe,SL,2020-09-02 08:23:59,7.53,-12.51,76.14,82,100,7.18
108,Batsfjord,NO,2020-09-02 08:24:00,70.63,29.72,55.4,66,94,20.8
109,Kant,IN,2020-09-02 08:24:00,27.8,79.8,93.72,52,98,0.38
110,Kabelvag,NO,2020-09-02 08:24:00,68.21,14.48,57.2,76,40,8.05
111,Yenagoa,NG,2020-09-02 08:24:00,4.92,6.26,78.12,86,100,6.11
112,Oussouye,SN,2020-09-02 08:24:00,12.48,-16.55,80.6,88,75,6.93
113,Boende,CD,2020-09-02 08:24:01,-0.22,20.87,78.12,77,100,3.83
114,Corralillo,CU,2020-09-02 08:24:01,22.98,-80.59,80.46,83,10,13.02
115,East London,ZA,2020-09-02 08:24:01,-33.02,27.91,68.0,56,80,17.22
116,Kingaroy,AU,2020-09-02 08:24:01,-26.53,151.83,68.0,60,8,8.05
117,Dharchula,IN,2020-09-02 08:24:01,29.85,80.53,81.14,56,87,4.5
118,Obra,IN,2020-09-02 08:24:02,24.42,82.98,81.52,77,98,9.84
119,Tuktoyaktuk,CA,2020-09-02 08:24:02,69.45,-133.04,46.13,73,99,6.08
120,Carnarvon,AU,2020-09-02 08:24:02,-24.87,113.63,69.8,56,2,17.22
121,Constitucion,CL,2020-09-02 08:24:02,-35.33,-72.42,47.7,76,33,3.29
122,Pravia,ES,2020-09-02 08:24:03,43.49,-6.15,69.01,77,20,4.7
123,Samarai,PG,2020-09-02 08:24:03,-10.62,150.67,77.9,89,53,15.46
124,Changuinola,PA,2020-09-02 08:24:03,9.43,-82.52,77.04,81,8,2.08
125,Ayagoz,KZ,2020-09-02 08:24:03,47.97,80.44,87.42,13,6,6.46
126,Talnakh,RU,2020-09-02 08:24:03,69.49,88.4,48.2,76,40,4.47
127,Biak,ID,2020-09-02 08:24:04,-0.91,122.88,82.38,75,20,6.98
128,Ixtapa,MX,2020-09-02 08:24:04,20.7,-105.2,78.01,99,71,2.46
129,Sanghar,PK,2020-09-02 08:24:04,26.05,68.95,95.0,59,0,6.93
130,Pevek,RU,2020-09-02 08:24:04,69.7,170.31,37.87,85,98,6.35
131,La Ronge,CA,2020-09-02 08:24:05,55.1,-105.28,46.4,93,20,6.93
132,College,US,2020-09-02 08:24:05,64.86,-147.8,53.6,81,75,4.7
133,Itarema,BR,2020-09-02 08:24:05,-2.92,-39.92,75.81,78,4,15.05
134,Andros Town,BS,2020-09-02 08:24:05,24.7,-77.77,82.4,83,20,4.7
135,Sisimiut,GL,2020-09-02 08:24:06,66.94,-53.67,41.0,88,100,6.46
136,Tateyama,JP,2020-09-02 08:24:06,34.98,139.87,87.01,83,75,9.17
137,Urdoma,RU,2020-09-02 08:24:06,61.75,48.54,58.14,58,16,10.76
138,Ancud,CL,2020-09-02 08:24:06,-41.87,-73.82,42.01,99,100,11.01
139,Viedma,AR,2020-09-02 08:24:07,-40.81,-63.0,41.0,91,70,11.18
140,Diapaga,BF,2020-09-02 08:24:07,12.07,1.79,73.06,94,100,6.96
141,Nioro,GM,2020-09-02 08:24:07,13.35,-15.75,75.11,94,100,5.88
142,Acari,PE,2020-09-02 08:24:07,-15.43,-74.62,57.04,70,46,4.07
143,Talas,TR,2020-09-02 08:24:08,38.69,35.55,84.2,26,40,1.12
144,Yaan,NG,2020-09-02 08:24:08,7.38,8.57,71.51,99,100,4.25
145,Tuatapere,NZ,2020-09-02 08:24:08,-46.13,167.68,45.0,72,100,11.01
146,Novolabinskaya,RU,2020-09-02 08:24:08,45.11,39.89,84.2,51,21,4.47
147,Shingu,JP,2020-09-02 08:24:09,33.73,135.98,84.2,74,75,13.87
148,Tutoia,BR,2020-09-02 08:24:09,-2.76,-42.27,77.22,77,61,14.03
149,Luderitz,NA,2020-09-02 08:22:40,-26.65,15.16,58.37,46,0,3.62
150,Namibe,AO,2020-09-02 08:24:09,-15.2,12.15,62.6,93,90,11.41
151,Ponta Do Sol,PT,2020-09-02 08:24:09,32.67,-17.1,73.4,69,40,10.29
152,Lebu,CL,2020-09-02 08:24:09,-37.62,-73.65,48.81,86,100,4.65
153,Melbu,NO,2020-09-02 08:24:10,68.5,14.83,57.2,76,40,11.41
154,Saskylakh,RU,2020-09-02 08:24:10,71.92,114.08,52.5,51,0,6.82
155,Iqaluit,CA,2020-09-02 08:24:10,63.75,-68.51,41.0,80,75,12.75
156,Provideniya,RU,2020-09-02 08:24:10,64.38,-173.3,43.39,63,92,4.65
157,Bushehr,IR,2020-09-02 08:24:11,28.97,50.84,96.8,47,0,6.93
158,Orchard Homes,US,2020-09-02 08:24:11,46.86,-114.05,55.4,76,1,3.33
159,Mitsamiouli,KM,2020-09-02 08:24:11,-11.38,43.28,80.6,65,20,6.93
160,Bambous Virieux,MU,2020-09-02 08:24:11,-20.34,57.76,78.01,78,75,10.29
161,Daru,PG,2020-09-02 08:24:11,-9.08,143.21,77.32,86,100,17.69
162,Bereda,ES,2020-09-02 08:24:12,43.27,-7.54,62.01,83,42,7.0
163,Victoria,HK,2020-09-02 08:20:30,22.29,114.16,93.2,63,40,11.41
164,Taldan,RU,2020-09-02 08:24:12,53.67,124.8,62.64,69,36,2.71
165,Kahului,US,2020-09-02 08:24:12,20.89,-156.47,78.8,65,1,13.87
166,Coruripe,BR,2020-09-02 08:24:12,-10.13,-36.18,72.34,81,0,12.57
167,Cabo San Lucas,MX,2020-09-02 08:20:52,22.89,-109.91,79.0,88,83,1.01
168,Marsh Harbour,BS,2020-09-02 08:24:13,26.54,-77.06,82.92,79,82,10.8
169,Port Lincoln,AU,2020-09-02 08:24:13,-34.73,135.87,58.12,68,50,21.18
170,Pisco,PE,2020-09-02 08:24:13,-13.7,-76.22,55.99,87,20,1.01
171,Nouadhibou,MR,2020-09-02 08:24:13,20.93,-17.03,75.2,69,33,10.29
172,Clyde River,CA,2020-09-02 08:24:14,70.47,-68.59,39.2,93,90,5.82
173,Sao Felix Do Xingu,BR,2020-09-02 08:24:14,-6.64,-51.99,66.36,49,0,0.87
174,Canon City,US,2020-09-02 08:24:14,38.44,-105.24,54.0,67,0,1.99
175,Lagoa,PT,2020-09-02 08:24:15,39.05,-27.98,71.83,73,100,5.03
176,Urumqi,CN,2020-09-02 08:24:15,43.8,87.6,86.0,22,100,4.47
177,Ishigaki,JP,2020-09-02 08:24:15,24.34,124.16,87.8,79,75,11.41
178,Vitim,RU,2020-09-02 08:24:15,59.45,112.56,69.28,45,100,11.52
179,Puerto Madryn,AR,2020-09-02 08:24:15,-42.77,-65.04,50.18,54,98,20.58
180,Rio Branco Do Sul,BR,2020-09-02 08:24:16,-25.19,-49.31,60.01,99,96,5.01
181,Serra Talhada,BR,2020-09-02 08:23:34,-7.99,-38.3,64.98,89,40,10.33
182,Cherskiy,RU,2020-09-02 08:24:16,68.75,161.3,45.36,63,90,7.09
183,Malartic,CA,2020-09-02 08:24:17,48.13,-78.13,62.6,100,90,4.7
184,Teshie,GH,2020-09-02 08:24:17,5.58,-0.11,77.0,83,40,11.41
185,Araouane,ML,2020-09-02 08:24:17,18.9,-3.53,86.83,45,90,5.68
186,Renfrew,GB,2020-09-02 08:24:17,55.87,-4.39,59.0,87,100,12.75
187,Sivaki,RU,2020-09-02 08:24:18,52.63,126.75,62.67,70,92,3.62
188,Ahraura,IN,2020-09-02 08:24:18,25.02,83.02,84.2,83,90,8.05
189,Imaichi,JP,2020-09-02 08:24:18,36.72,139.68,80.6,94,75,5.82
190,Saint-Michel-Des-Saints,CA,2020-09-02 08:24:18,46.68,-73.92,60.49,94,100,8.34
191,Bluff,NZ,2020-09-02 08:24:18,-46.6,168.33,45.0,72,100,11.01
192,Gazli,UZ,2020-09-02 08:24:19,40.13,63.45,93.56,11,0,7.09
193,Fort Nelson,CA,2020-09-02 08:24:19,58.81,-122.7,55.4,62,90,9.17
194,Leningradskiy,RU,2020-09-02 08:24:19,69.38,178.42,35.8,95,100,0.16
195,Ferme-Neuve,CA,2020-09-02 08:24:19,46.7,-75.45,62.62,95,100,8.9
196,Ahipara,NZ,2020-09-02 08:24:20,-35.17,173.17,51.42,79,83,17.05
197,Juneau,US,2020-09-02 08:24:20,58.3,-134.42,54.0,93,90,5.82
198,Tasiilaq,GL,2020-09-02 08:24:20,65.61,-37.64,39.2,80,75,21.92
