City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
463,Airai,TL,-8.93,125.41,78.69,42,0,6.17,clear sky
464,Shanghai,CN,31.22,121.46,89.6,35,0,8.95,clear sky
465,Oranjemund,NA,-28.55,16.43,55.09,81,67,4.43,broken clouds
466,Launceston,AU,-41.45,147.17,61.0,44,75,10.29,broken clouds
467,Palatka,US,29.65,-81.64,82.0,99,99,1.99,overcast clouds
468,Palu,ID,-0.89,119.87,87.48,63,52,4.14,light rain
469,Nouadhibou,MR,20.93,-17.03,75.2,73,46,16.11,scattered clouds
470,Altoona,US,40.52,-78.39,62.6,59,1,6.93,clear sky
471,Hofn,IS,64.25,-15.21,42.66,63,6,12.5,clear sky
472,Pierre,US,44.37,-100.35,64.4,48,1,9.17,clear sky
473,Trincomalee,LK,8.57,81.23,85.89,67,65,10.63,broken clouds
474,Peniche,PT,39.36,-9.38,64.99,89,28,10.0,scattered clouds
475,Bonavista,CA,48.65,-53.11,62.46,90,15,17.45,few clouds
476,Ossora,RU,59.24,163.07,55.09,47,0,12.57,clear sky
477,Santa Fe,AR,-31.63,-60.7,54.0,87,3,4.0,clear sky
478,Aykhal,RU,66.0,111.5,48.2,87,90,6.71,overcast clouds
479,Marsa Matruh,EG,31.35,27.25,78.8,74,0,9.17,clear sky
480,Srednekolymsk,RU,67.45,153.68,55.35,40,0,8.95,clear sky
481,Inirida,CO,3.87,-67.92,75.69,86,100,3.06,overcast clouds
482,Hit,IQ,33.64,42.83,88.47,14,0,12.71,clear sky
483,San Patricio,MX,19.22,-104.7,81.0,92,85,5.32,overcast clouds
484,Puerto Leguizamo,CO,-0.19,-74.78,71.64,96,39,1.32,scattered clouds
485,Iturama,BR,-19.73,-50.2,74.86,32,4,4.9,clear sky
486,Ayagoz,KZ,47.97,80.44,52.81,43,33,12.46,scattered clouds
487,Yeppoon,AU,-23.13,150.73,80.6,36,2,8.05,clear sky
488,Bosansko Grahovo,BA,44.18,16.36,61.0,66,0,5.14,clear sky
489,Chakia,IN,26.42,85.05,92.48,54,45,1.19,scattered clouds
490,Coquimbo,CL,-29.95,-71.34,53.6,81,36,1.12,scattered clouds
